policy,perturb_type,severity,perturb_value,episode_idx,ep_return,ep_len,track_err,fell,hit_ceiling,eval_seed
baseline_full_dr,nominal,none,,0,42.53631591796875,1000,0.04247045889496803,False,False,42
baseline_full_dr,nominal,none,,1,41.172447204589844,1000,0.05704287812113762,False,False,42
baseline_full_dr,nominal,none,,2,41.24601745605469,1000,0.06829658150672913,False,False,42
baseline_full_dr,nominal,none,,3,41.94709014892578,1000,0.055724192410707474,False,False,42
baseline_full_dr,nominal,none,,4,41.614871978759766,1000,0.050053294748067856,False,False,42
baseline_full_dr,nominal,none,,5,40.674041748046875,1000,0.06706332415342331,False,False,42
baseline_full_dr,nominal,none,,6,39.65135192871094,1000,0.06830067187547684,False,False,42
baseline_full_dr,nominal,none,,7,40.674705505371094,1000,0.07164789736270905,False,False,42
baseline_full_dr,nominal,none,,8,41.54178237915039,1000,0.054936546832323074,False,False,42
baseline_full_dr,nominal,none,,9,39.23207473754883,1000,0.06418610364198685,False,False,42
baseline_full_dr,nominal,none,,10,42.35796356201172,1000,0.04075416922569275,False,False,42
baseline_full_dr,nominal,none,,11,39.21978759765625,1000,0.07527787238359451,False,False,42
baseline_full_dr,nominal,none,,12,40.26495361328125,1000,0.0694061890244484,False,False,42
baseline_full_dr,nominal,none,,13,41.32125473022461,1000,0.06134602800011635,False,False,42
baseline_full_dr,nominal,none,,14,39.90827560424805,1000,0.07659197598695755,False,False,42
baseline_full_dr,nominal,none,,15,38.1640739440918,1000,0.09525071829557419,False,False,42
baseline_full_dr,nominal,none,,16,39.06683349609375,1000,0.07852642238140106,False,False,42
baseline_full_dr,nominal,none,,17,42.18630599975586,1000,0.05871524289250374,False,False,42
baseline_full_dr,nominal,none,,18,39.949974060058594,1000,0.0780351459980011,False,False,42
baseline_full_dr,nominal,none,,19,40.764686584472656,1000,0.07506880164146423,False,False,42
baseline_full_dr,nominal,none,,20,39.91013717651367,1000,0.07097843289375305,False,False,42
baseline_full_dr,nominal,none,,21,42.051753997802734,1000,0.06879951804876328,False,False,42
baseline_full_dr,nominal,none,,22,41.48737335205078,1000,0.05185285583138466,False,False,42
baseline_full_dr,nominal,none,,23,42.032684326171875,1000,0.05022521689534187,False,False,42
baseline_full_dr,nominal,none,,24,42.12188720703125,1000,0.05689719691872597,False,False,42
baseline_full_dr,nominal,none,,25,42.35929870605469,1000,0.049662135541439056,False,False,42
baseline_full_dr,nominal,none,,26,42.58200454711914,1000,0.05983279272913933,False,False,42
baseline_full_dr,nominal,none,,27,40.549583435058594,1000,0.06296899169683456,False,False,42
baseline_full_dr,nominal,none,,28,39.71647262573242,1000,0.06889830529689789,False,False,42
baseline_full_dr,nominal,none,,29,41.676109313964844,1000,0.0600261390209198,False,False,42
no_friction,nominal,none,,0,41.99335479736328,1000,0.040315061807632446,False,False,42
no_friction,nominal,none,,1,39.71897506713867,1000,0.06532169133424759,False,False,42
no_friction,nominal,none,,2,40.97848892211914,1000,0.06943298131227493,False,False,42
no_friction,nominal,none,,3,41.42158126831055,1000,0.04545498639345169,False,False,42
